web-scraper-order,web-scraper-start-url,title_link,title_link-href,pagintion,pagintion-href,date,add,add-href,title_text
"1543754725-973","https://timesofindia.indiatimes.com/topic/HIV/news","HIV positive woman marries twice, kills first husband with the help of second
23 Feb 2018In a sensational incident from Bhadohi district of Uttar Pradesh, an HIV infected woman (name withheld to protect identity) has been arrested for conspiring with her second husband to kill her first husband.","https://timesofindia.indiatimes.com/india/hiv-positive-women-marries-twice-kills-first-husband-with-the-help-of-second/articleshow/63043159.cms","15","https://timesofindia.indiatimes.com/topic/HIV/news/15","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543756303-1845","https://timesofindia.indiatimes.com/topic/HIV/news","Why Narasinghpur sees most accident deaths every year
03 Sep 2018","https://timesofindia.indiatimes.com/city/gurgaon/why-narasinghpur-sees-most-accident-deaths-every-year/articleshow/65663167.cms","8","https://timesofindia.indiatimes.com/topic/HIV/news/8","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543755442-1512","https://timesofindia.indiatimes.com/topic/HIV/news","Section 377: After long battle, it’ll be another fight for right to marry or adopt
11 Jul 2018","https://timesofindia.indiatimes.com/india/after-long-battle-itll-be-another-fight-for-right-to-marry-or-adopt/articleshow/64954252.cms","11","https://timesofindia.indiatimes.com/topic/HIV/news/11","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543755696-1788","https://timesofindia.indiatimes.com/topic/HIV/news","An HIV-positive dream hits house hurdle in Kolkata
04 Mar 2018","https://timesofindia.indiatimes.com/city/kolkata/an-hiv-positive-dream-hits-house-hurdle-in-city/articleshow/63162870.cms","9","https://timesofindia.indiatimes.com/topic/HIV/news/9","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543754813-1010","https://timesofindia.indiatimes.com/topic/HIV/news","NHRC notice to UP govt over spread of HIV among prisoners in jails
07 Mar 2018","https://timesofindia.indiatimes.com/city/lucknow/nhrc-notice-to-up-govt-over-spread-of-hiv-among-prisoners-in-jails/articleshow/63205052.cms","15","https://timesofindia.indiatimes.com/topic/HIV/news/15","","","","NHRC notice to UP government over spread of HIV among prisoners in the jails"
"1543754098-641","https://timesofindia.indiatimes.com/topic/HIV/news","NGO gives helping hand, 200 patients get free treatment
26 Dec 2017","https://timesofindia.indiatimes.com/city/hyderabad/ngo-gives-helping-hand-200-patients-get-free-treatment/articleshow/62247569.cms","18","https://timesofindia.indiatimes.com/topic/HIV/news/18","","","","NGO gives helping hand, 200 patients get free treatment"
"1543754958-1117","https://timesofindia.indiatimes.com/topic/HIV/news","School life gets a little easier for HIV students
07 Aug 2017State board students up to Class X, who stay with HIV-positive parents or carry the virus themselves, will now be classified as “belonging to (a) disadvantaged group”, which will make them eligible for all facilities that students belonging to Scheduled Castes or Tribes get under the Right to Education Act.","https://timesofindia.indiatimes.com/city/kolkata/school-life-gets-a-little-easier-for-hiv-students/articleshow/59962525.cms","14","https://timesofindia.indiatimes.com/topic/HIV/news/14","","","","Bimal Gurung threatens to intensify protest in Darjeeling hills"
"1543754725-957","https://timesofindia.indiatimes.com/topic/HIV/news","HIV positive woman marries twice, kills first husband with the help of second
23 Feb 2018In a sensational incident from Bhadohi district of Uttar Pradesh, an HIV infected woman (name withheld to protect identity) has been arrested for conspiring with her second husband to kill her first husband.","https://timesofindia.indiatimes.com/india/hiv-positive-women-marries-twice-kills-first-husband-with-the-help-of-second/articleshow/63043159.cms","15","https://timesofindia.indiatimes.com/topic/HIV/news/15","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543754954-1107","https://timesofindia.indiatimes.com/topic/HIV/news","China approves first home made anti-HIV drug
06 Jun 2018China has approved the first domestically developed, long-acting injectable HIV drug Albuvirtide which could be a boon to tens of thousands of HIV/AIDS patients in the country, the official media reported.","https://timesofindia.indiatimes.com/world/china/china-approves-first-home-made-anti-hiv-drug/articleshow/64478135.cms","14","https://timesofindia.indiatimes.com/topic/HIV/news/14","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543756182-1836","https://timesofindia.indiatimes.com/topic/HIV/news","On medicines for 16 years, youth stresses on family support
03 Sep 2018","https://timesofindia.indiatimes.com/city/mumbai/on-medicines-for-16-years-youth-stresses-on-family-support/articleshow/65650623.cms","8","https://timesofindia.indiatimes.com/topic/HIV/news/8","","","","No relief for activists held in June for ‘Maoist link’"
